PRISM Time Series Data,,,,,,
Locations: 292,,,,,,
"Climate variables: ppt,tmean",,,,,,
MC02,-73.2607,44.3545,167,December,2.69,27.3
MC02,-73.2607,44.3545,167,Annual,36.64,46.5
,,,,,,
MC03,-73.263,44.3682,142,January,2.19,19.6
MC03,-73.263,44.3682,142,February,1.79,21.5
MC03,-73.263,44.3682,142,March,2.35,30.8
MC03,-73.263,44.3682,142,April,2.84,44.4
MC03,-73.263,44.3682,142,May,3.3,57.2
MC03,-73.263,44.3682,142,June,4.22,66.3
MC03,-73.263,44.3682,142,July,4.04,71.4
MC03,-73.263,44.3682,142,August,3.43,69.8
MC03,-73.263,44.3682,142,September,3.3,62.1
MC03,-73.263,44.3682,142,October,3.46,49.7
MC03,-73.263,44.3682,142,November,2.78,38.5
MC03,-73.263,44.3682,142,December,2.67,27.3
MC03,-73.263,44.3682,142,Annual,36.35,46.6
,,,,,,
MC04,-73.2648,44.3683,133,January,2.19,19.6
MC04,-73.2648,44.3683,133,February,1.79,21.5
MC04,-73.2648,44.3683,133,March,2.35,30.8
MC04,-73.2648,44.3683,133,April,2.82,44.5
MC04,-73.2648,44.3683,133,May,3.29,57.2
MC04,-73.2648,44.3683,133,June,4.21,66.4
MC04,-73.2648,44.3683,133,July,4.04,71.5
MC04,-73.2648,44.3683,133,August,3.42,69.9
MC04,-73.2648,44.3683,133,September,3.28,62.1
MC04,-73.2648,44.3683,133,October,3.44,49.7
MC04,-73.2648,44.3683,133,November,2.77,38.5
MC04,-73.2648,44.3683,133,December,2.66,27.3
MC04,-73.2648,44.3683,133,Annual,36.26,46.6
,,,,,,
MC05,-73.2512,44.3699,208,January,2.22,19.4
MC05,-73.2512,44.3699,208,February,1.81,21.4
MC05,-73.2512,44.3699,208,March,2.38,30.7
MC05,-73.2512,44.3699,208,April,2.9,44.3
MC05,-73.2512,44.3699,208,May,3.37,57
MC05,-73.2512,44.3699,208,June,4.23,66.1
MC05,-73.2512,44.3699,208,July,4.08,71.1
MC05,-73.2512,44.3699,208,August,3.47,69.5
MC05,-73.2512,44.3699,208,September,3.37,61.8
MC05,-73.2512,44.3699,208,October,3.52,49.4
MC05,-73.2512,44.3699,208,November,2.81,38.3
MC05,-73.2512,44.3699,208,December,2.7,27.1
MC05,-73.2512,44.3699,208,Annual,36.86,46.3
,,,,,,
MC06,-73.262,44.3543,165,January,2.21,19.5
MC06,-73.262,44.3543,165,February,1.8,21.5
MC06,-73.262,44.3543,165,March,2.37,30.8
MC06,-73.262,44.3543,165,April,2.87,44.4
MC06,-73.262,44.3543,165,May,3.33,57.1
MC06,-73.262,44.3543,165,June,4.22,66.2
MC06,-73.262,44.3543,165,July,4.07,71.3
MC06,-73.262,44.3543,165,August,3.46,69.7
MC06,-73.262,44.3543,165,September,3.29,62
MC06,-73.262,44.3543,165,October,3.49,49.6
MC06,-73.262,44.3543,165,November,2.79,38.4
MC06,-73.262,44.3543,165,December,2.69,27.3
MC06,-73.262,44.3543,165,Annual,36.59,46.5
,,,,,,
MC07,-73.252,44.3697,206,January,2.22,19.4
MC07,-73.252,44.3697,206,February,1.81,21.4
MC07,-73.252,44.3697,206,March,2.38,30.7
MC07,-73.252,44.3697,206,April,2.9,44.3
MC07,-73.252,44.3697,206,May,3.37,57
MC07,-73.252,44.3697,206,June,4.23,66.1
MC07,-73.252,44.3697,206,July,4.07,71.1
MC07,-73.252,44.3697,206,August,3.47,69.6
MC07,-73.252,44.3697,206,September,3.37,61.8
MC07,-73.252,44.3697,206,October,3.52,49.4
MC07,-73.252,44.3697,206,November,2.81,38.3
MC07,-73.252,44.3697,206,December,2.7,27.1
MC07,-73.252,44.3697,206,Annual,36.85,46.3
,,,,,,
MC08,-73.2671,44.3712,118,January,2.17,19.6
MC08,-73.2671,44.3712,118,February,1.78,21.5
MC08,-73.2671,44.3712,118,March,2.34,30.8
MC08,-73.2671,44.3712,118,April,2.8,44.5
MC08,-73.2671,44.3712,118,May,3.26,57.3
MC08,-73.2671,44.3712,118,June,4.21,66.4
MC08,-73.2671,44.3712,118,July,4.02,71.5
MC08,-73.2671,44.3712,118,August,3.39,69.9
MC08,-73.2671,44.3712,118,September,3.25,62.2
MC08,-73.2671,44.3712,118,October,3.42,49.8
MC08,-73.2671,44.3712,118,November,2.76,38.5
MC08,-73.2671,44.3712,118,December,2.65,27.4
MC08,-73.2671,44.3712,118,Annual,36.05,46.6
,,,,,,
MC09,-73.2475,44.3701,210,January,2.23,19.4
MC09,-73.2475,44.3701,210,February,1.81,21.4
MC09,-73.2475,44.3701,210,March,2.39,30.7
MC09,-73.2475,44.3701,210,April,2.93,44.3
MC09,-73.2475,44.3701,210,May,3.4,57
MC09,-73.2475,44.3701,210,June,4.24,66.1
MC09,-73.2475,44.3701,210,July,4.09,71.1
MC09,-73.2475,44.3701,210,August,3.49,69.5
MC09,-73.2475,44.3701,210,September,3.41,61.8
MC09,-73.2475,44.3701,210,October,3.56,49.4
MC09,-73.2475,44.3701,210,November,2.82,38.3
MC09,-73.2475,44.3701,210,December,2.71,27.1
MC09,-73.2475,44.3701,210,Annual,37.08,46.3
,,,,,,
MC10,-73.25,44.37,214,January,2.23,19.4
MC10,-73.25,44.37,214,February,1.81,21.4
MC10,-73.25,44.37,214,March,2.39,30.7
MC10,-73.25,44.37,214,April,2.92,44.2
MC10,-73.25,44.37,214,May,3.39,57
MC10,-73.25,44.37,214,June,4.24,66.1
MC10,-73.25,44.37,214,July,4.09,71.1
MC10,-73.25,44.37,214,August,3.49,69.5
MC10,-73.25,44.37,214,September,3.4,61.8
MC10,-73.25,44.37,214,October,3.55,49.4
MC10,-73.25,44.37,214,November,2.82,38.3
MC10,-73.25,44.37,214,December,2.71,27.1
MC10,-73.25,44.37,214,Annual,37.04,46.3
,,,,,,
AW13,-73.23,43.82,352,January,2.39,20
AW13,-73.23,43.82,352,February,1.95,22
AW13,-73.23,43.82,352,March,2.43,31.4
AW13,-73.23,43.82,352,April,3.13,44.6
AW13,-73.23,43.82,352,May,3.58,56.6
AW13,-73.23,43.82,352,June,4.1,65.8
AW13,-73.23,43.82,352,July,4.1,70.6
AW13,-73.23,43.82,352,August,3.84,69
AW13,-73.23,43.82,352,September,3.33,61.4
AW13,-73.23,43.82,352,October,3.95,48.8
AW13,-73.23,43.82,352,November,2.86,37.6
AW13,-73.23,43.82,352,December,3.04,26.9
AW13,-73.23,43.82,352,Annual,38.69,46.2
,,,,,,
AW12,-73.14,43.5,1127,January,3.28,20.6
AW12,-73.14,43.5,1127,February,2.76,22.5
AW12,-73.14,43.5,1127,March,3.41,30.5
AW12,-73.14,43.5,1127,April,3.69,42.7
AW12,-73.14,43.5,1127,May,4.13,54.5
AW12,-73.14,43.5,1127,June,4.68,63
AW12,-73.14,43.5,1127,July,4.79,67.6
AW12,-73.14,43.5,1127,August,4.33,65.7
AW12,-73.14,43.5,1127,September,3.91,58.5
AW12,-73.14,43.5,1127,October,4.64,47
AW12,-73.14,43.5,1127,November,3.44,36.8
AW12,-73.14,43.5,1127,December,4.07,26.9
AW12,-73.14,43.5,1127,Annual,47.14,44.7
,,,,,,
VE3,-73.1317,44.4792,248,January,2.38,18.9
VE3,-73.1317,44.4792,248,February,1.9,21.1
VE3,-73.1317,44.4792,248,March,2.58,30.4
VE3,-73.1317,44.4792,248,April,3.37,44.2
VE3,-73.1317,44.4792,248,May,3.78,57.1
VE3,-73.1317,44.4792,248,June,4.36,66.2
VE3,-73.1317,44.4792,248,July,4.33,71
VE3,-73.1317,44.4792,248,August,3.77,69.5
VE3,-73.1317,44.4792,248,September,3.88,61.7
VE3,-73.1317,44.4792,248,October,4.14,49.3
VE3,-73.1317,44.4792,248,November,2.99,38
VE3,-73.1317,44.4792,248,December,2.87,26.7
VE3,-73.1317,44.4792,248,Annual,40.35,46.2
,,,,,,
VE5,-73.0486,44.4691,315,January,2.48,18.6
VE5,-73.0486,44.4691,315,February,1.96,20.7
VE5,-73.0486,44.4691,315,March,2.67,30.1
VE5,-73.0486,44.4691,315,April,3.43,43.9
VE5,-73.0486,44.4691,315,May,3.92,56.7
VE5,-73.0486,44.4691,315,June,4.44,65.9
VE5,-73.0486,44.4691,315,July,4.5,70.6
VE5,-73.0486,44.4691,315,August,4,69.2
VE5,-73.0486,44.4691,315,September,3.97,61.3
VE5,-73.0486,44.4691,315,October,4.23,48.9
VE5,-73.0486,44.4691,315,November,3.1,37.8
VE5,-73.0486,44.4691,315,December,2.96,26.3
VE5,-73.0486,44.4691,315,Annual,41.63,45.8
,,,,,,
VE6,-73.0468,44.4765,307,January,2.48,18.6
VE6,-73.0468,44.4765,307,February,1.96,20.7
VE6,-73.0468,44.4765,307,March,2.67,30.2
VE6,-73.0468,44.4765,307,April,3.44,43.9
VE6,-73.0468,44.4765,307,May,3.93,56.7
VE6,-73.0468,44.4765,307,June,4.44,65.9
VE6,-73.0468,44.4765,307,July,4.51,70.7
VE6,-73.0468,44.4765,307,August,4.02,69.2
VE6,-73.0468,44.4765,307,September,3.99,61.4
VE6,-73.0468,44.4765,307,October,4.24,48.9
VE6,-73.0468,44.4765,307,November,3.1,37.8
VE6,-73.0468,44.4765,307,December,2.97,26.4
VE6,-73.0468,44.4765,307,Annual,41.74,45.9
,,,,,,
VE4,-73.1362,44.4827,256,January,2.37,18.9
VE4,-73.1362,44.4827,256,February,1.89,21.1
VE4,-73.1362,44.4827,256,March,2.57,30.4
VE4,-73.1362,44.4827,256,April,3.36,44.2
VE4,-73.1362,44.4827,256,May,3.78,57
VE4,-73.1362,44.4827,256,June,4.35,66.1
VE4,-73.1362,44.4827,256,July,4.33,71
VE4,-73.1362,44.4827,256,August,3.77,69.5
VE4,-73.1362,44.4827,256,September,3.88,61.7
VE4,-73.1362,44.4827,256,October,4.13,49.2
VE4,-73.1362,44.4827,256,November,2.98,38
VE4,-73.1362,44.4827,256,December,2.86,26.7
VE4,-73.1362,44.4827,256,Annual,40.28,46.2
,,,,,,
NW09C,-72.4136,44.8919,766,January,3.26,14.9
NW09C,-72.4136,44.8919,766,February,2.73,17.3
NW09C,-72.4136,44.8919,766,March,3.12,26.9
NW09C,-72.4136,44.8919,766,April,3.86,41.2
NW09C,-72.4136,44.8919,766,May,4.25,54
NW09C,-72.4136,44.8919,766,June,4.77,62.9
NW09C,-72.4136,44.8919,766,July,4.81,67.6
NW09C,-72.4136,44.8919,766,August,4.4,65.9
NW09C,-72.4136,44.8919,766,September,3.78,58.5
NW09C,-72.4136,44.8919,766,October,4.72,46.5
NW09C,-72.4136,44.8919,766,November,3.97,34.7
NW09C,-72.4136,44.8919,766,December,3.74,23
NW09C,-72.4136,44.8919,766,Annual,47.41,42.8
,,,,,,
NW09H,-72.4107,44.8899,775,January,3.25,14.9
NW09H,-72.4107,44.8899,775,February,2.71,17.3
NW09H,-72.4107,44.8899,775,March,3.11,26.9
NW09H,-72.4107,44.8899,775,April,3.86,41.2
NW09H,-72.4107,44.8899,775,May,4.24,54
NW09H,-72.4107,44.8899,775,June,4.76,62.9
NW09H,-72.4107,44.8899,775,July,4.81,67.5
NW09H,-72.4107,44.8899,775,August,4.4,65.8
NW09H,-72.4107,44.8899,775,September,3.78,58.5
NW09H,-72.4107,44.8899,775,October,4.7,46.4
NW09H,-72.4107,44.8899,775,November,3.96,34.7
NW09H,-72.4107,44.8899,775,December,3.72,23
NW09H,-72.4107,44.8899,775,Annual,47.3,42.8
,,,,,,
NW09T,-72.4126,44.8911,769,January,3.26,14.9
NW09T,-72.4126,44.8911,769,February,2.72,17.3
NW09T,-72.4126,44.8911,769,March,3.11,26.9
NW09T,-72.4126,44.8911,769,April,3.86,41.2
NW09T,-72.4126,44.8911,769,May,4.25,54
NW09T,-72.4126,44.8911,769,June,4.76,62.9
NW09T,-72.4126,44.8911,769,July,4.81,67.5
NW09T,-72.4126,44.8911,769,August,4.4,65.9
NW09T,-72.4126,44.8911,769,September,3.78,58.5
NW09T,-72.4126,44.8911,769,October,4.71,46.5
NW09T,-72.4126,44.8911,769,November,3.96,34.7
NW09T,-72.4126,44.8911,769,December,3.73,23
NW09T,-72.4126,44.8911,769,Annual,47.35,42.8
,,,,,,
RM7,-73.3342,43.6314,215,January,2.85,20.8
RM7,-73.3342,43.6314,215,February,2.34,22.8
RM7,-73.3342,43.6314,215,March,3.07,32.6
RM7,-73.3342,43.6314,215,April,3.35,46.1
RM7,-73.3342,43.6314,215,May,3.44,58
RM7,-73.3342,43.6314,215,June,4.2,67.2
RM7,-73.3342,43.6314,215,July,4.31,71.9
RM7,-73.3342,43.6314,215,August,4.16,70.1
RM7,-73.3342,43.6314,215,September,3.48,62.5
RM7,-73.3342,43.6314,215,October,4.09,50.1
RM7,-73.3342,43.6314,215,November,3.14,38.4
RM7,-73.3342,43.6314,215,December,3.35,27.8
RM7,-73.3342,43.6314,215,Annual,41.78,47.4
,,,,,,
RM8,-73.336,43.6312,213,January,2.86,20.9
RM8,-73.336,43.6312,213,February,2.34,22.9
RM8,-73.336,43.6312,213,March,3.07,32.6
RM8,-73.336,43.6312,213,April,3.36,46.1
RM8,-73.336,43.6312,213,May,3.44,58
RM8,-73.336,43.6312,213,June,4.2,67.2
RM8,-73.336,43.6312,213,July,4.31,72
RM8,-73.336,43.6312,213,August,4.16,70.2
RM8,-73.336,43.6312,213,September,3.48,62.5
RM8,-73.336,43.6312,213,October,4.09,50.1
RM8,-73.336,43.6312,213,November,3.14,38.4
RM8,-73.336,43.6312,213,December,3.35,27.8
RM8,-73.336,43.6312,213,Annual,41.8,47.4
,,,,,,
NW27C,-73.1647,44.8582,146,January,2.33,18.1
NW27C,-73.1647,44.8582,146,February,1.98,20.4
NW27C,-73.1647,44.8582,146,March,2.43,29.9
NW27C,-73.1647,44.8582,146,April,3.18,43.8
NW27C,-73.1647,44.8582,146,May,3.64,57
NW27C,-73.1647,44.8582,146,June,4.31,65.8
NW27C,-73.1647,44.8582,146,July,4.09,70.8
NW27C,-73.1647,44.8582,146,August,3.86,69.2
NW27C,-73.1647,44.8582,146,September,3.56,61.7
NW27C,-73.1647,44.8582,146,October,3.9,49.2
NW27C,-73.1647,44.8582,146,November,2.91,37.7
NW27C,-73.1647,44.8582,146,December,2.81,26.3
NW27C,-73.1647,44.8582,146,Annual,39.01,45.8
,,,,,,
NW27T,-73.1706,44.8556,144,January,2.33,18.2
NW27T,-73.1706,44.8556,144,February,1.98,20.4
NW27T,-73.1706,44.8556,144,March,2.43,29.9
NW27T,-73.1706,44.8556,144,April,3.18,43.8
NW27T,-73.1706,44.8556,144,May,3.64,57
NW27T,-73.1706,44.8556,144,June,4.31,65.8
NW27T,-73.1706,44.8556,144,July,4.08,70.8
NW27T,-73.1706,44.8556,144,August,3.86,69.2
NW27T,-73.1706,44.8556,144,September,3.56,61.7
NW27T,-73.1706,44.8556,144,October,3.9,49.2
NW27T,-73.1706,44.8556,144,November,2.91,37.7
NW27T,-73.1706,44.8556,144,December,2.81,26.3
NW27T,-73.1706,44.8556,144,Annual,38.97,45.8
,,,,,,
NW05C,-72.9812,44.6867,522,January,2.58,17.2
NW05C,-72.9812,44.6867,522,February,2.16,19.5
NW05C,-72.9812,44.6867,522,March,2.75,28.9
NW05C,-72.9812,44.6867,522,April,3.46,42.6
NW05C,-72.9812,44.6867,522,May,3.93,55.6
NW05C,-72.9812,44.6867,522,June,4.49,64.4
NW05C,-72.9812,44.6867,522,July,4.41,69.3
NW05C,-72.9812,44.6867,522,August,4.11,67.8
NW05C,-72.9812,44.6867,522,September,4.01,60.2
NW05C,-72.9812,44.6867,522,October,4.3,47.8
NW05C,-72.9812,44.6867,522,November,3.28,36.5
NW05C,-72.9812,44.6867,522,December,3.12,25.1
NW05C,-72.9812,44.6867,522,Annual,42.6,44.6
,,,,,,
NW05T,-72.9806,44.6855,517,January,2.58,17.2
NW05T,-72.9806,44.6855,517,February,2.15,19.5
NW05T,-72.9806,44.6855,517,March,2.75,28.9
NW05T,-72.9806,44.6855,517,April,3.46,42.6
NW05T,-72.9806,44.6855,517,May,3.93,55.6
NW05T,-72.9806,44.6855,517,June,4.49,64.4
NW05T,-72.9806,44.6855,517,July,4.41,69.3
NW05T,-72.9806,44.6855,517,August,4.1,67.8
NW05T,-72.9806,44.6855,517,September,4.01,60.2
NW05T,-72.9806,44.6855,517,October,4.3,47.9
NW05T,-72.9806,44.6855,517,November,3.27,36.6
NW05T,-72.9806,44.6855,517,December,3.11,25.1
NW05T,-72.9806,44.6855,517,Annual,42.55,44.6
,,,,,,
NW26C,-73.2587,44.8715,108,January,2.41,18.1
NW26C,-73.2587,44.8715,108,February,2.01,20.3
NW26C,-73.2587,44.8715,108,March,2.46,29.9
NW26C,-73.2587,44.8715,108,April,3.07,43.9
NW26C,-73.2587,44.8715,108,May,3.54,57.2
NW26C,-73.2587,44.8715,108,June,4.17,65.9
NW26C,-73.2587,44.8715,108,July,3.93,70.8
NW26C,-73.2587,44.8715,108,August,3.82,69.2
NW26C,-73.2587,44.8715,108,September,3.47,61.8
NW26C,-73.2587,44.8715,108,October,3.84,49.3
NW26C,-73.2587,44.8715,108,November,2.93,37.7
NW26C,-73.2587,44.8715,108,December,2.84,26.3
NW26C,-73.2587,44.8715,108,Annual,38.48,45.9
,,,,,,
NW26T,-73.2682,44.8785,108,January,2.42,18.1
NW26T,-73.2682,44.8785,108,February,2.02,20.2
NW26T,-73.2682,44.8785,108,March,2.46,29.8
NW26T,-73.2682,44.8785,108,April,3.06,43.9
NW26T,-73.2682,44.8785,108,May,3.53,57.2
NW26T,-73.2682,44.8785,108,June,4.15,65.9
NW26T,-73.2682,44.8785,108,July,3.91,70.8
NW26T,-73.2682,44.8785,108,August,3.82,69.2
NW26T,-73.2682,44.8785,108,September,3.47,61.8
NW26T,-73.2682,44.8785,108,October,3.83,49.3
NW26T,-73.2682,44.8785,108,November,2.93,37.7
NW26T,-73.2682,44.8785,108,December,2.83,26.3
NW26T,-73.2682,44.8785,108,Annual,38.42,45.8
,,,,,,
NW13C,-73.2216,44.9423,115,January,2.55,17.7
NW13C,-73.2216,44.9423,115,February,2.1,19.9
NW13C,-73.2216,44.9423,115,March,2.56,29.6
NW13C,-73.2216,44.9423,115,April,3.22,43.7
NW13C,-73.2216,44.9423,115,May,3.69,57
NW13C,-73.2216,44.9423,115,June,4.2,65.9
NW13C,-73.2216,44.9423,115,July,4.05,70.7
NW13C,-73.2216,44.9423,115,August,3.89,69.1
NW13C,-73.2216,44.9423,115,September,3.57,61.6
NW13C,-73.2216,44.9423,115,October,4.02,49.1
NW13C,-73.2216,44.9423,115,November,3.02,37.4
NW13C,-73.2216,44.9423,115,December,3,26
NW13C,-73.2216,44.9423,115,Annual,39.87,45.6
,,,,,,
NW13T,-73.2164,44.9405,121,January,2.55,17.8
NW13T,-73.2164,44.9405,121,February,2.1,19.9
NW13T,-73.2164,44.9405,121,March,2.56,29.6
NW13T,-73.2164,44.9405,121,April,3.22,43.7
NW13T,-73.2164,44.9405,121,May,3.69,57
NW13T,-73.2164,44.9405,121,June,4.21,65.9
NW13T,-73.2164,44.9405,121,July,4.06,70.7
NW13T,-73.2164,44.9405,121,August,3.89,69.1
NW13T,-73.2164,44.9405,121,September,3.58,61.5
NW13T,-73.2164,44.9405,121,October,4.02,49.1
NW13T,-73.2164,44.9405,121,November,3.02,37.4
NW13T,-73.2164,44.9405,121,December,3,26
NW13T,-73.2164,44.9405,121,Annual,39.89,45.6
,,,,,,
NW17C,-72.9004,44.943,548,January,2.7,16.3
NW17C,-72.9004,44.943,548,February,2.2,18.7
NW17C,-72.9004,44.943,548,March,2.79,28.2
NW17C,-72.9004,44.943,548,April,3.29,42.5
NW17C,-72.9004,44.943,548,May,3.87,55.4
NW17C,-72.9004,44.943,548,June,4.34,64.2
NW17C,-72.9004,44.943,548,July,4.48,68.7
NW17C,-72.9004,44.943,548,August,4.33,67.1
NW17C,-72.9004,44.943,548,September,4.08,59.8
NW17C,-72.9004,44.943,548,October,4.25,47.7
NW17C,-72.9004,44.943,548,November,3.23,36.2
NW17C,-72.9004,44.943,548,December,3.22,24.3
NW17C,-72.9004,44.943,548,Annual,42.77,44.1
,,,,,,
NW17T,-72.9036,44.9454,543,January,2.72,16.3
NW17T,-72.9036,44.9454,543,February,2.22,18.7
NW17T,-72.9036,44.9454,543,March,2.8,28.2
NW17T,-72.9036,44.9454,543,April,3.3,42.5
NW17T,-72.9036,44.9454,543,May,3.88,55.4
NW17T,-72.9036,44.9454,543,June,4.36,64.2
NW17T,-72.9036,44.9454,543,July,4.49,68.7
NW17T,-72.9036,44.9454,543,August,4.34,67.1
NW17T,-72.9036,44.9454,543,September,4.08,59.8
NW17T,-72.9036,44.9454,543,October,4.26,47.7
NW17T,-72.9036,44.9454,543,November,3.26,36.2
NW17T,-72.9036,44.9454,543,December,3.25,24.3
NW17T,-72.9036,44.9454,543,Annual,42.95,44.1
,,,,,,
AW6,-72.6542,42.8903,1166,January,3.86,21
AW6,-72.6542,42.8903,1166,February,3.45,22.7
AW6,-72.6542,42.8903,1166,March,4.02,30.5
AW6,-72.6542,42.8903,1166,April,4.2,42.8
AW6,-72.6542,42.8903,1166,May,4.27,54.4
AW6,-72.6542,42.8903,1166,June,4.78,63.1
AW6,-72.6542,42.8903,1166,July,4.53,68.1
AW6,-72.6542,42.8903,1166,August,4.46,66.4
AW6,-72.6542,42.8903,1166,September,4.43,59.3
AW6,-72.6542,42.8903,1166,October,5.38,47.4
AW6,-72.6542,42.8903,1166,November,4.05,36.8
AW6,-72.6542,42.8903,1166,December,4.83,27
AW6,-72.6542,42.8903,1166,Annual,52.27,45
,,,,,,
AW7,-72.6517,42.8875,1050,January,3.84,21.1
AW7,-72.6517,42.8875,1050,February,3.44,22.9
AW7,-72.6517,42.8875,1050,March,4,30.8
AW7,-72.6517,42.8875,1050,April,4.19,43
AW7,-72.6517,42.8875,1050,May,4.25,54.6
AW7,-72.6517,42.8875,1050,June,4.78,63.4
AW7,-72.6517,42.8875,1050,July,4.52,68.3
AW7,-72.6517,42.8875,1050,August,4.45,66.7
AW7,-72.6517,42.8875,1050,September,4.42,59.5
AW7,-72.6517,42.8875,1050,October,5.38,47.6
AW7,-72.6517,42.8875,1050,November,4.03,37
AW7,-72.6517,42.8875,1050,December,4.81,27.2
AW7,-72.6517,42.8875,1050,Annual,52.11,45.2
,,,,,,
PM2,-73.1406,43.3788,1016,January,3.43,20.3
PM2,-73.1406,43.3788,1016,February,2.98,22.1
PM2,-73.1406,43.3788,1016,March,3.6,30.6
PM2,-73.1406,43.3788,1016,April,3.81,43.4
PM2,-73.1406,43.3788,1016,May,4.14,55
PM2,-73.1406,43.3788,1016,June,4.66,63.6
PM2,-73.1406,43.3788,1016,July,4.77,68.2
PM2,-73.1406,43.3788,1016,August,4.27,66.3
PM2,-73.1406,43.3788,1016,September,3.99,59.2
PM2,-73.1406,43.3788,1016,October,4.84,47.5
PM2,-73.1406,43.3788,1016,November,3.65,36.9
PM2,-73.1406,43.3788,1016,December,4.38,26.8
PM2,-73.1406,43.3788,1016,Annual,48.51,45
,,,,,,
PM1,-73.1426,43.376,987,January,3.43,20.2
PM1,-73.1426,43.376,987,February,2.96,22.1
PM1,-73.1426,43.376,987,March,3.58,30.5
PM1,-73.1426,43.376,987,April,3.8,43.4
PM1,-73.1426,43.376,987,May,4.12,55.1
PM1,-73.1426,43.376,987,June,4.66,63.7
PM1,-73.1426,43.376,987,July,4.77,68.3
PM1,-73.1426,43.376,987,August,4.25,66.4
PM1,-73.1426,43.376,987,September,3.97,59.3
PM1,-73.1426,43.376,987,October,4.81,47.6
PM1,-73.1426,43.376,987,November,3.64,36.9
PM1,-73.1426,43.376,987,December,4.35,26.7
PM1,-73.1426,43.376,987,Annual,48.35,45
,,,,,,
D4,-71.9447,44.4365,897,January,2.53,15
D4,-71.9447,44.4365,897,February,2.18,17.1
D4,-71.9447,44.4365,897,March,2.47,27.1
D4,-71.9447,44.4365,897,April,3.23,40.8
D4,-71.9447,44.4365,897,May,3.82,53.5
D4,-71.9447,44.4365,897,June,4.39,62.5
D4,-71.9447,44.4365,897,July,4.64,67.3
D4,-71.9447,44.4365,897,August,4.16,65.5
D4,-71.9447,44.4365,897,September,3.56,57.9
D4,-71.9447,44.4365,897,October,4.32,45.7
D4,-71.9447,44.4365,897,November,3.13,34.1
D4,-71.9447,44.4365,897,December,3.26,22.6
D4,-71.9447,44.4365,897,Annual,41.68,42.4
,,,,,,
D6,-71.9463,44.436,889,January,2.53,15.1
D6,-71.9463,44.436,889,February,2.18,17.1
D6,-71.9463,44.436,889,March,2.46,27.1
D6,-71.9463,44.436,889,April,3.23,40.9
D6,-71.9463,44.436,889,May,3.82,53.5
D6,-71.9463,44.436,889,June,4.39,62.5
D6,-71.9463,44.436,889,July,4.64,67.3
D6,-71.9463,44.436,889,August,4.16,65.5
D6,-71.9463,44.436,889,September,3.56,58
D6,-71.9463,44.436,889,October,4.32,45.7
D6,-71.9463,44.436,889,November,3.13,34.1
D6,-71.9463,44.436,889,December,3.26,22.6
D6,-71.9463,44.436,889,Annual,41.66,42.5
,,,,,,
D5,-71.9442,44.4359,893,January,2.53,15.1
D5,-71.9442,44.4359,893,February,2.18,17.1
D5,-71.9442,44.4359,893,March,2.46,27.1
D5,-71.9442,44.4359,893,April,3.22,40.9
D5,-71.9442,44.4359,893,May,3.82,53.5
D5,-71.9442,44.4359,893,June,4.39,62.5
D5,-71.9442,44.4359,893,July,4.63,67.3
D5,-71.9442,44.4359,893,August,4.16,65.5
D5,-71.9442,44.4359,893,September,3.56,57.9
D5,-71.9442,44.4359,893,October,4.32,45.7
D5,-71.9442,44.4359,893,November,3.13,34.1
D5,-71.9442,44.4359,893,December,3.26,22.6
D5,-71.9442,44.4359,893,Annual,41.66,42.4
,,,,,,
NW28C,-73.0391,44.9657,286,January,2.76,17.2
NW28C,-73.0391,44.9657,286,February,2.24,19.4
NW28C,-73.0391,44.9657,286,March,2.71,29.2
NW28C,-73.0391,44.9657,286,April,3.35,43.1
NW28C,-73.0391,44.9657,286,May,3.89,56.3
NW28C,-73.0391,44.9657,286,June,4.39,65.2
NW28C,-73.0391,44.9657,286,July,4.29,69.9
NW28C,-73.0391,44.9657,286,August,4.14,68.3
NW28C,-73.0391,44.9657,286,September,3.84,60.7
NW28C,-73.0391,44.9657,286,October,4.2,48.5
NW28C,-73.0391,44.9657,286,November,3.18,36.9
NW28C,-73.0391,44.9657,286,December,3.21,25.2
NW28C,-73.0391,44.9657,286,Annual,42.2,45
,,,,,,
NW28T,-73.0368,44.9601,285,January,2.75,17.2
NW28T,-73.0368,44.9601,285,February,2.24,19.4
NW28T,-73.0368,44.9601,285,March,2.71,29.2
NW28T,-73.0368,44.9601,285,April,3.34,43.2
NW28T,-73.0368,44.9601,285,May,3.87,56.3
NW28T,-73.0368,44.9601,285,June,4.38,65.2
NW28T,-73.0368,44.9601,285,July,4.29,69.9
NW28T,-73.0368,44.9601,285,August,4.13,68.3
NW28T,-73.0368,44.9601,285,September,3.83,60.8
NW28T,-73.0368,44.9601,285,October,4.19,48.5
NW28T,-73.0368,44.9601,285,November,3.17,37
NW28T,-73.0368,44.9601,285,December,3.2,25.2
NW28T,-73.0368,44.9601,285,Annual,42.09,45
,,,,,,
NW29C,-72.2189,44.8039,998,January,3.11,13.9
NW29C,-72.2189,44.8039,998,February,2.62,16.2
NW29C,-72.2189,44.8039,998,March,2.99,25.7
NW29C,-72.2189,44.8039,998,April,3.5,39.9
NW29C,-72.2189,44.8039,998,May,4.09,52.8
NW29C,-72.2189,44.8039,998,June,4.7,61.8
NW29C,-72.2189,44.8039,998,July,4.83,66.6
NW29C,-72.2189,44.8039,998,August,4.46,64.8
NW29C,-72.2189,44.8039,998,September,3.83,57.3
